,week,state,Population,deaths,cases,negatives,Date,death_SMA,deaths_per_100000,cases_per_100000,positive_test_rate,timestamp
0,11,AK,731545,0,0,121,2020-03-15,,,0.0,0.0,2020-03-15
28,11,ND,762062,0,1,95,2020-03-15,,,0.01874613126715974,0.010416666666666666,2020-03-15
29,11,NE,1934408,0,14,44,2020-03-15,,,0.10339080483538117,0.2413793103448276,2020-03-15
30,11,NH,1359711,0,9,233,2020-03-15,,,0.09455790868164528,0.0371900826446281,2020-03-15
31,11,NJ,8882190,2,87,85,2020-03-15,,,0.1399268809670974,0.5058139534883721,2020-03-15
32,11,NM,2096829,0,17,497,2020-03-15,,,0.11582114843754203,0.033073929961089495,2020-03-15
33,11,NV,3080156,1,40,154,2020-03-15,,,0.18551936052218504,0.20618556701030927,2020-03-15
34,11,NY,19453561,3,560,4164,2020-03-15,,,0.41123576295363096,0.11854360711261643,2020-03-15
35,11,OH,11689100,0,33,128,2020-03-15,,,0.040330613257528077,0.20496894409937888,2020-03-15
36,11,OK,3956971,0,8,110,2020-03-15,,,0.02888212076502817,0.06779661016949153,2020-03-15
38,11,PA,12801989,0,53,205,2020-03-15,,,0.059142595509405385,0.2054263565891473,2020-03-15
27,11,NC,10488084,0,30,227,2020-03-15,,,0.040862699857421865,0.11673151750972763,2020-03-15
39,11,RI,1059361,0,16,282,2020-03-15,,,0.21576349192714153,0.053691275167785234,2020-03-15
41,11,SD,884659,0,9,322,2020-03-15,,,0.14533444928659356,0.027190332326283987,2020-03-15
42,11,TN,6829174,0,36,157,2020-03-15,,,0.07530716222572661,0.18652849740932642,2020-03-15
43,11,TX,28995881,0,44,0,2020-03-15,,,0.021677955864539127,1.0,2020-03-15
44,11,UT,3205958,0,27,624,2020-03-15,,,0.12031170892266389,0.041474654377880185,2020-03-15
45,11,VA,8535519,1,42,325,2020-03-15,,,0.0702944952732224,0.11444141689373297,2020-03-15
46,11,VT,623989,0,7,292,2020-03-15,,,0.1602592353390845,0.023411371237458192,2020-03-15
47,11,WA,7614893,22,904,15482,2020-03-15,,,1.6959247771814672,0.05516904674722324,2020-03-15
48,11,WI,5822434,0,36,277,2020-03-15,,,0.0883283029546946,0.11501597444089456,2020-03-15
